total=601
t=0.010000 n=14
47290.020901 1.449905 -0.057852
t=0.180000 n=17
51592.658662 1.513166 -0.042752
12788.659771 1.179237 0.024161
11654.316220 1.375646 -0.250265
14205.017294 1.276788 -0.041653
47882.357422 1.456915 -0.071599
8839.899866 0.934275 0.032179
35712.164704 1.580682 -0.077669
11258.723888 1.594077 0.035639
25713.234604 1.589656 -0.108375
5144.529758 1.514345 0.078471
7046.487284 1.173164 -0.366505
22267.039663 1.388933 -0.061423
40507.575611 1.529319 -0.031293
27176.265611 1.369199 -0.060654
41090.639747 1.560325 -0.028440
40885.074040 1.568459 0.007605
47198.932647 1.443032 -0.063685
t=0.190000 n=18
51481.487706 1.473620 -0.064619
34162.199296 1.589383 -0.057617
26552.523132 1.590231 0.010542
29043.026206 1.419739 -0.084297
49631.224527 1.504740 -0.065179
25195.923762 1.514137 -0.010974
22790.326382 1.571531 -0.084433
11662.293710 1.317403 0.033913
38383.374881 1.569109 0.004880
42613.144058 1.507891 0.010246
35695.666527 1.377197 -0.026376
27777.171743 1.409528 -0.061154
4926.983221 -0.476955 -0.656654
17958.801410 1.550732 -0.110154
25279.814075 1.553756 -0.107290
13715.851326 1.170459 0.003219
5721.531848 0.278969 -0.185231
47124.265210 1.442952 -0.066582
t=0.200000 n=15
28149.600806 1.565229 -0.124199
15035.039855 1.232866 0.011521
30277.412987 1.336840 -0.084439
35145.075723 1.378787 -0.025725
21157.866295 1.607893 -0.089848
19783.405794 1.389683 -0.170420
9435.339946 0.825389 -0.252715
6893.125453 1.390702 -0.102924
6074.674509 1.455469 -0.584880
49094.843237 1.495257 -0.063976
32954.710908 1.398563 -0.066918
22975.656889 1.263574 -0.097941
50260.514555 1.447411 -0.051431
19432.798391 1.474777 0.016746
47056.608569 1.440028 -0.060198
t=0.210000 n=25
44852.194708 1.526464 -0.023240
49694.770727 1.437648 -0.062329
34425.271760 1.565228 -0.085642
54138.702184 1.517042 -0.053999
21871.367120 1.248318 -0.112349
5651.867929 1.159029 -0.012153
12211.998918 1.159123 -0.199430
6472.508419 0.849420 -0.437803
9889.668762 1.381401 -0.221996
48144.288160 1.470658 0.002145
26186.720029 1.444467 -0.101926
51698.707300 1.485425 -0.017763
18498.505823 1.582150 -0.004158
11088.239888 1.261772 -0.019005
28186.766051 1.416595 -0.038973
42552.045394 1.473510 -0.070774
54585.028742 1.493745 0.009060
3264.341673 2.146508 -1.229481
14684.274011 1.217574 -0.126381
32764.886080 1.386754 -0.051630
23768.972361 1.525781 -0.017406
23236.443589 1.543197 -0.009981
51295.588613 1.478122 -0.020851
40057.879799 1.450831 -0.065990
46981.559001 1.447320 -0.066167
t=0.220000 n=18
49914.385696 1.475922 -0.047003
37451.484447 1.490768 -0.044762
42766.061368 1.448857 -0.013177
51321.840555 1.549320 0.006551
22709.026738 1.564457 -0.099753
23642.649717 1.317933 -0.025070
33751.898093 1.536254 -0.077997
34943.600476 1.492317 -0.040451
52253.189812 1.477526 -0.059098
33290.626355 1.425084 -0.029839
6082.533381 -0.228557 -0.350335
43275.954090 1.461415 -0.043358
3946.239610 0.339397 -0.798462
51421.883053 1.558265 -0.006814
22413.458869 1.268325 -0.126097
14519.701610 1.109141 -0.223740
40719.775380 1.435445 -0.055087
46919.153386 1.448337 -0.062039
t=0.230000 n=18
26514.119397 1.383921 -0.091546
12218.781806 1.279862 -0.070927
6436.438409 -0.266109 -0.310667
3866.002562 -1.087027 -0.502148
19541.240865 1.359048 -0.050035
6505.075086 1.081447 0.041662
36765.098660 1.516596 -0.085400
26813.791417 1.559819 -0.071434
